PassengerId,Name,Sex,Age,Survived,Pclass,Ticket,Fare,Surname,Apellidos,Title
1,"Braund, Mr. Owen Harris",1,22.0,0,3,A/5 21171,7.25,Braund,2,2
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,38.0,1,1,PC 17599,71.2833,Cumings,1,3
3,"Heikkinen, Miss. Laina",0,26.0,1,3,STON/O2. 3101282,7.925,Heikkinen,1,1
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,35.0,1,1,113803,53.1,Futrelle,2,3
5,"Allen, Mr. William Henry",1,35.0,0,3,373450,8.05,Allen,2,2
6,"Moran, Mr. James",1,29.69911764705882,0,3,330877,8.4583,Moran,3,2
7,"McCarthy, Mr. Timothy J",1,54.0,0,1,17463,51.8625,McCarthy,1,2
8,"Palsson, Master. Gosta Leonard",1,2.0,0,3,349909,21.075,Palsson,3,0
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,27.0,1,3,347742,11.1333,Johnson,3,3
10,"Nasser, Mrs. Nicholas (Adele Achem)",0,14.0,1,2,237736,30.0708,Nasser,2,3
11,"Sandstrom, Miss. Marguerite Rut",0,4.0,1,3,PP 9549,16.7,Sandstrom,2,1
12,"Bonnell, Miss. Elizabeth",0,58.0,1,1,113783,26.55,Bonnell,1,1
13,"Saundercock, Mr. William Henry",1,20.0,0,3,A/5. 2151,8.05,Saundercock,1,2
14,"Andersson, Mr. Anders Johan",1,39.0,0,3,347082,31.275,Andersson,3,2
15,"Vestrom, Miss. Hulda Amanda Adolfina",0,14.0,0,3,350406,7.8542,Vestrom,1,1
16,"Hewlett, Mrs. (Mary D Kingcome) ",0,55.0,1,2,248706,16.0,Hewlett,1,3
17,"Rice, Master. Eugene",1,2.0,0,3,382652,29.125,Rice,3,0
18,"Williams, Mr. Charles Eugene",1,29.69911764705882,1,2,244373,13.0,Williams,3,2
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,31.0,0,3,345763,18.0,Vander Planke,3,3
20,"Masselmani, Mrs. Fatima",0,29.69911764705882,1,3,2649,7.225,Masselmani,1,3
21,"Fynney, Mr. Joseph J",1,35.0,0,2,239865,26.0,Fynney,1,2
22,"Beesley, Mr. Lawrence",1,34.0,1,2,248698,13.0,Beesley,1,2
23,"McGowan, Miss. Anna ""Annie""",0,15.0,1,3,330923,8.0292,McGowan,1,1
24,"Sloper, Mr. William Thompson",1,28.0,1,1,113788,35.5,Sloper,1,2
25,"Palsson, Miss. Torborg Danira",0,8.0,0,3,349909,21.075,Palsson,3,1
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0,38.0,1,3,347077,31.3875,Asplund,3,3
27,"Emir, Mr. Farred Chehab",1,29.69911764705882,0,3,2631,7.225,Emir,1,2
28,"Fortune, Mr. Charles Alexander",1,19.0,0,1,19950,263.0,Fortune,3,2
29,"O'Dwyer, Miss. Ellen ""Nellie""",0,29.69911764705882,1,3,330959,7.8792,O'Dwyer,1,1
30,"Todoroff, Mr. Lalio",1,29.69911764705882,0,3,349216,7.8958,Todoroff,1,2
31,"Uruchurtu, Don. Manuel E",1,40.0,0,1,PC 17601,27.7208,Uruchurtu,1,4
